timestamp,windAvg,windDegrees,windMin,windMax,temperature
1718661357534,2.3,205.0,1.5,2.6,12.6
1718661417961,2.3,205.0,1.5,2.6,12.5
1718661478342,2.6,205.0,1.5,2.6,12.3
1718661548776,2.3,205.0,1.5,2.6,12.2
1718661616035,2.8,205.0,1.5,3.1,12.1
1718661804156,2.6,205.0,1.5,3.1,12.1
1718662003811,2.8,215.0,2.1,3.1,12.2
1718662394834,2.3,215.0,1.5,3.1,12.4
1718662455254,2.3,210.0,1.5,3.1,12.4
1718662576040,2.3,215.0,1.5,2.6,12.4
1718662796028,2.3,215.0,1.5,2.6,12.5
1718662916821,2.3,220.0,1.5,2.6,12.6
1718662977206,2.1,220.0,1.5,2.6,12.7
1718663640938,1.3,220.0,1.0,2.1,12.7
1718663703307,1.5,225.0,1.0,2.1,12.6
1718663765691,1.5,230.0,1.0,2.1,12.6
1718663822850,1.5,225.0,1.0,1.5,12.3
1718663885182,1.3,225.0,1.0,1.5,12.1
1718663942343,1.3,225.0,1.0,1.5,12.0
1718664004736,1.3,225.0,1.0,1.5,11.9
1718664067141,1.3,230.0,1.0,1.5,11.7
1718664124314,1.3,230.0,1.0,1.0,11.6
1718664186690,1.3,230.0,0.5,1.0,11.5
1718664243873,1.0,235.0,0.5,1.0,11.5
1718664425713,1.0,225.0,0.5,1.0,11.4
1718664488014,1.0,230.0,0.5,1.0,11.4
1718664550325,1.0,225.0,0.5,1.0,11.3
1718664669775,1.0,220.0,0.5,1.0,11.3
1718664789253,1.0,225.0,0.5,1.0,11.3
1718664971109,1.3,225.0,0.5,1.0,11.2
1718665033524,1.3,230.0,0.5,1.0,10.9
1718665090943,1.3,230.0,0.5,1.0,10.8
1718665153298,1.3,220.0,0.5,1.0,10.8
1718665210414,1.3,220.0,0.5,1.0,10.9
1718665272773,1.3,225.0,0.5,1.0,10.7
1718665335125,1.0,225.0,0.5,1.0,10.5
1718665392256,1.0,215.0,0.5,1.0,10.6
1718665454603,1.0,215.0,0.5,1.0,10.5
1718665516933,1.0,215.0,0.5,1.0,10.4
1718665574068,1.0,215.0,0.5,1.0,10.3
1718665636403,1.0,205.0,0.5,1.0,10.1
1718665693555,1.0,200.0,0.5,1.0,10.0
1718665755881,1.0,205.0,0.5,1.0,9.9
1718665818198,1.0,200.0,0.5,1.0,9.9
1718665875334,1.0,195.0,0.5,1.0,9.9
1718665937657,0.8,100.0,0.5,1.0,9.9
1718665999997,0.8,100.0,0.0,1.0,9.9
1718666119492,0.8,105.0,0.0,1.0,9.9
1718666176648,0.8,105.0,0.0,1.0,9.8
1718666239003,0.8,105.0,0.0,1.0,9.7
1718666301318,0.5,105.0,0.0,1.0,9.7
1718666358499,0.5,110.0,0.0,1.0,9.8
1718666420848,0.5,115.0,0.0,0.5,9.9
1718666483258,0.5,115.0,0.0,0.5,10.0
1718666540422,0.5,120.0,0.0,0.5,9.9
1718666602803,0.5,125.0,0.0,0.5,9.9
1718666722347,0.8,255.0,0.0,0.5,9.9
1718666784737,0.8,260.0,0.0,1.0,10.0
1718666841942,1.3,265.0,0.0,1.0,10.0
1718666904301,1.3,270.0,0.0,1.0,9.9
1718666961490,1.3,270.0,0.0,1.5,9.8
1718667086238,1.3,275.0,0.0,1.5,9.9
1718667143413,1.3,275.0,0.0,1.5,9.8
1718667205773,1.3,275.0,0.5,1.5,9.7
1718667268143,1.3,275.0,0.5,1.5,9.5
1718667325317,1.3,280.0,0.5,1.5,9.5
1718667387706,1.3,280.0,0.5,1.5,9.7
1718667444881,1.3,280.0,0.5,1.5,9.6
1718667507254,1.3,280.0,0.5,1.5,9.3
1718667569626,1.3,280.0,0.5,1.5,9.2
1718667626799,1.0,280.0,0.5,1.5,9.3
1718667689163,1.0,275.0,0.5,1.5,9.5
1718667751531,1.0,275.0,0.0,1.5,9.4
1718667808696,0.5,125.0,0.0,1.5,9.2
1718667871068,0.5,130.0,0.0,1.5,9.1
1718667928252,0.5,130.0,0.0,1.5,9.2
1718667990620,0.3,130.0,0.0,1.5,9.2
1718668110203,0.0,0.0,0.0,1.0,9.2
1718668172572,0.3,130.0,0.0,1.0,9.1
1718668234952,0.5,275.0,0.0,1.0,9.0
1718668292150,0.5,280.0,0.0,1.0,8.9
1718668411707,0.5,285.0,0.0,1.0,8.9
1718668474101,0.5,290.0,0.0,1.0,8.9
1718668536466,0.5,285.0,0.0,1.0,9.0
1718668593629,1.0,280.0,0.0,1.0,9.1
1718668655987,1.0,280.0,0.0,1.0,9.0
1718668713166,1.3,275.0,0.5,1.0,9.0
1718668775541,1.3,270.0,0.5,1.5,9.1
1718668837900,1.3,270.0,0.5,1.5,9.2
1718668957436,1.3,260.0,0.5,1.5,9.2
1718669019833,1.3,260.0,0.5,1.5,9.4
1718669077010,1.3,255.0,0.5,1.5,9.4
1718669139412,1.3,250.0,0.5,1.5,9.2
1718669321385,1.0,245.0,0.5,1.5,9.2
1718669378553,1.0,245.0,0.5,1.5,9.3
1718669440918,1.0,235.0,0.5,1.5,9.4
1718669503297,1.0,230.0,0.5,1.5,9.3
1718669560486,1.0,220.0,0.5,1.5,9.3
1718669622875,1.0,220.0,0.5,1.5,9.2
1718669680055,1.3,225.0,0.5,1.5,9.0
1718669742434,1.3,225.0,0.5,1.5,8.9
1718669804807,1.3,230.0,0.5,1.5,8.9
1718669861975,1.5,230.0,0.5,1.5,8.9
1718669924334,1.8,225.0,0.5,1.5,8.9
1718669981518,1.5,220.0,0.5,1.5,8.9
1718670043875,1.5,215.0,0.5,1.5,8.9
1718670106287,1.3,210.0,0.5,1.5,8.9
1718670163480,1.0,115.0,0.5,1.5,9.0
1718670225849,1.0,115.0,0.5,1.5,9.1
1718670345402,0.8,115.0,0.5,1.5,9.1
1718670527346,0.8,115.0,0.0,1.0,9.0
1718670589741,0.8,115.0,0.0,1.0,8.9
1718670646931,1.0,115.0,0.0,1.0,9.0
1718670771681,0.8,115.0,0.0,1.0,9.0
1718670828866,1.0,115.0,0.0,1.0,9.0
1718670948401,1.0,115.0,0.0,0.5,9.1
1718671010777,0.8,115.0,0.0,0.5,9.0
1718671073146,0.8,120.0,0.0,0.5,9.0
1718671130295,0.8,120.0,0.0,0.5,8.9
1718671192651,0.8,125.0,0.0,0.5,8.9
1718671249809,0.5,130.0,0.0,1.0,9.0
1718671312159,0.8,280.0,0.0,1.0,9.1
1718671374526,0.8,280.0,0.0,1.0,9.2
1718671494072,0.8,270.0,0.0,1.0,9.2
1718671556446,0.8,275.0,0.0,1.0,9.3
1718671613607,0.8,270.0,0.0,1.0,9.3
1718671675983,0.8,275.0,0.0,1.0,9.3
1718671733176,0.5,135.0,0.0,1.0,9.3
1718671795534,0.5,130.0,0.0,1.0,9.3
1718671857893,0.5,125.0,0.0,1.0,9.3
1718671915089,0.5,120.0,0.0,1.0,9.2
1718671977495,0.5,115.0,0.0,1.0,9.2
1718672039851,0.8,115.0,0.0,1.0,9.2
1718672097034,0.8,115.0,0.0,1.0,9.1
1718672159409,0.8,120.0,0.0,1.0,9.2
1718672278961,0.8,120.0,0.0,0.5,9.3
1718672341342,0.8,120.0,0.0,0.5,9.4
1718672398533,0.8,120.0,0.0,0.5,9.5
1718672460898,1.0,120.0,0.0,0.5,9.6
1718672518068,0.8,120.0,0.0,0.5,9.6
1718672642820,1.0,240.0,0.0,0.5,9.5
1718672700000,0.8,115.0,0.0,0.5,9.3
1718672762395,1.0,240.0,0.0,1.0,9.2
1718672881959,1.3,240.0,0.5,1.0,9.2
1718673001515,1.3,240.0,0.5,1.0,9.1
