timestamp,windAvg,windDegrees,windMin,windMax,temperature
1718713502566,4.1,240.0,2.1,8.2,20.9
1718713859082,4.4,245.0,2.1,6.7,20.8
1718713901552,4.4,255.0,2.1,6.7,21.0
1718713971484,4.4,255.0,2.1,6.7,21.1
1718714056682,4.4,255.0,2.1,6.7,20.9
1718714086929,5.1,245.0,2.1,7.2,21.0
1718714172900,5.7,245.0,2.1,7.2,21.1
1718714203167,5.7,245.0,2.1,8.2,21.0
1718714263581,5.9,240.0,2.1,8.2,21.2
1718714334967,5.4,245.0,2.1,8.2,21.4
1718714395363,5.1,250.0,2.6,8.2,21.6
1718714455767,5.1,255.0,2.6,8.2,21.3
1718714617187,4.6,260.0,3.1,8.2,20.7
1718714654657,4.6,260.0,3.1,8.2,20.7
1718714684861,4.1,255.0,1.5,8.2,20.7
1718714745263,4.4,250.0,1.5,8.2,20.7
